Company,County Located,4x2 Utility Vehicles,Air Compressors & Generators (truck mounted),Alternate Fuel Conversions,Alternate Fuel Vehicles,Body Upfits,Bucket Trucks,Cab & Chassis,Cranes (truck mounted),Garbage Trucks,Hydraulic Systems (truck mounted),Liftgates,Lifts- Vehicle Mobile (which do not require construction),Liquid Winter Maintenance Systems (truck mounted),Pickup Trucks and Cargo Vans,Recycling Trucks,Salt/Sand Spreaders (truck mounted),Snowplows (truck mounted),Trailers,Vacuum Trucks/Street Sweepers,Manufacturers,Expiration,CONTROLLER,ADDRESS1,ADDRESS2,E-MAIL ADDRESS,CONTACT,PHONE #,FAX #
Intercon Truck Equipment,,No,Yes,No,No,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,"A.R.E. Accessories, LLC; Air-Flo Manufacturing; Anthony Liftgates, Inc.; ArmLift (Div. of TG Industries, Inc.); Beau-Roc, Inc.; Big Tex Trailers; BOSS Products (Snowplows-Div. of Northern Star Industries, Inc.); Buyers Products Company; Danco Products; DMFDiversified Metal Fabricators (Railgear); Donovan Enterprises; EagleLift (Palfinger); ECCO (Electronic Controls Company); Elliott Machine Works; Federal Signal; Fisher Engineering (Plows/Spreaders); FORCE America, Inc.; Galion-Godwin Truck Body Co., LLC; Good Roads, Inc.; Harsco Corporation; Ingersoll Rand; Intercon Truck Equipment; KNAACK (Werner Co.); Liftmoore, Inc.; Maxon Lift Corp.; Maxxima; Meyer Products; Monroe Truck Equipment; Mountain Tarp; Muncie Power Products; Omaha Standard (Palfinger); Palfinger; Pioneer Coverall (Tarps); PreCise MRM; ProTech Industries (Truck/Trailer); Ramsey Industries, Inc. (Cranes/Winches); Ranger Design/Van Shelving; Rawson Koening; RKI, Inc. (Truck Equipment); Roll Rite; Smith Metal Works (Spreaders/Dump Bodies); Snow-Ex; SwapLoader USA; System One Modular Truck Equipment; Thieman Tailgates, Inc.; THS; Tommy Gate (Woodbine Mfg. Co.); Truck-Lite; U.S. Truck Body; Vacuum Sales; Valk Manufacturing Company; Valley Engineering; Vanair Manufacturing, Inc.; Vanguard Manufacturing, Inc. (Ladder Racks); Varitech Industries; Venco; Venturo; Waltco Truck Equipment Co.; Warner Bodies; Warren; WEATHER GUARD (Werner Co.); Western Products (Snow Plows/Removal Equip)",4/21/16,48557,,,,,,
J Gary Schmidt dba Gary Schmidt's Garage,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,Blizzard,11/25/15,48557,,,,,,
J&J Truck Equipment (Somerset Welding & Steel Inc.),,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,"Anthony Liftgates, Inc.; Bawer (4-State Trucks, Inc.); BOSS Products (Snowplows-Div. of Northern Star Industries, Inc.); Bri-Mar Manufacturing, LLC; Certified Power, Inc.; CTECH Trailer Cabinets; Delta Consolidated Industries, Inc.; E-Z Pack Manufacturing; Fabco Power; Fisher Engineering (Plows/Spreaders); Great Plains Industries, Inc.; Henke Manufacturing; INTERLIFT, Inc.; J&J Truck Bodies & Trailers; JOMAC, Ltd.; Kilar Fabrication; KNAACK (Werner Co.); Knapheide Manufacturing Company; Luverne; Maxon Lift Corp.; Meyer Products; Minimizer; Par-Kan Company; Parker Hannifin Corporation; ProTech Industries (Truck/Trailer); Ramsey Industries, Inc. (Cranes/Winches); Stellar Industries, Inc.; Swenson Spreader, LLC; System One Modular Truck Equipment; Thieman Tailgates, Inc.; Tommy Gate (Woodbine Mfg. Co.); TruckCraft; U.S. Truck Body; Valk Manufacturing Company; Vanair Manufacturing, Inc.; Venco; VMAC (Vehicle Mounted Air Compressors); Waltco Truck Equipment Co.; WEATHER GUARD (Werner Co.)",4/21/16,48557,,,,,,
J-Tech Emergency Lighting,,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,J-Tech Emergency Lighting,2/8/16,48557,,,,,,
John Kennedy Ford Mazda of Pottstown,,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,Ford Motor Company,2/20/16,48557,,,,,,
"John Meegan Ford, Inc.",Westmoreland,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,Ford Motor Company,4/22/15,48557,,,,,,
Joseph C. Reagle Inc. dba Reagle Dodge,,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,Chrysler,1/9/16,48557,,,,,,
"JW Fleming, Inc.",,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,"Acari Engineering Company, LLC; Boss Industries (Compressors); Knapheide Manufacturing Company; Sortimo Globelyst; Torwel Industries",11/5/15,48557,,,,,,
"Keith's Truck Service, Inc.",,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,Yes,Yes,No,No,Buyers Products Company; Fisher Engineering (Plows/Spreaders); Keystone Spring Service; KNAACK (Werner Co.); The Reading Group-TRG (AKA Reading Truck Body),3/16/16,48557,,,,,,
Ken Pollock Nissan LLC,,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Nissan,10/28/15,48557,,,,,,
Kenny Ross Chevrolet Inc,Westmoreland,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,General Motors (Chevrolet-Buick-GMC-Cadillac),3/10/16,48557,,,,,,
Kenny Ross Ford Inc,Westmoreland,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,Ford Motor Company,3/10/16,48557,,,,,,
"Kightlinger Motors, Inc.",,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,Ford Motor Company; General Motors (Chevrolet-Buick-GMC-Cadillac),9/21/16,48557,,,,,,
"Koch Holdings, Inc. d/b/a Milham Ford",,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,Ford Motor Company,7/14/16,48557,,,,,,
"Kovatch Ford, Inc.",,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Ford Motor Company; KME,5/26/16,48557,,,,,,
Kovatch Mobile Equipment Corporation t/a KME Fire Apparatus,,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,International Truck and Engine Corporation; KME,4/27/16,48557,,,,,,
"Lake Chevrolet, Inc.",,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,General Motors (Chevrolet-Buick-GMC-Cadillac),6/27/16,48557,,,,,,
"Lake Ford Lincoln Mercury, Inc.",,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,Ford Motor Company,4/21/16,48557,,,,,,
Lakeside Chevrolet Buick,,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,General Motors (Chevrolet-Buick-GMC-Cadillac),3/11/16,48557,,,,,,
Laurel Ford Lincoln-Mercury,,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,Ford Motor Company,4/21/16,48557,,,,,,
LB Smith Ford Lincoln,,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,Ford Motor Company,11/19/15,48557,,,,,,
"Legacy Truck Centers, Inc",,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,General Motors (Chevrolet-Buick-GMC-Cadillac); Mack Trucks; Volvo Trucks,4/21/16,48557,,,,,,
